timestamp_ms,elapsed_after_fault_ms,phase,motor.m1,motor.m2,motor.m3,motor.m4,ftAlloc.active,ftAlloc.failedMotor,ftAlloc.residualYaw,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,stateEstimate.z
0,,pre_fault,65231,65535,65418,65290,0,0,-0.0015734125571645122,-0.10380541202617251,0.2570544104587708,-0.18708826905353854,0.0012211475333588002
50,,pre_fault,29285,29347,29501,29368,0,0,0.0006914599091111667,-0.08518677347971923,0.13992619488357716,0.5470568009289578,0.5026474051423065
100,,pre_fault,29493,29038,28972,29342,0,0,0.0009852930623412966,-0.16550498737066796,0.07925260368442401,0.3303796185521224,0.4958911207176042
150,,pre_fault,28930,29265,29186,29190,0,0,-0.0014233707200733683,0.26356495685695774,-0.22310941824120645,-0.7570904362976697,0.49408085202731594
200,,pre_fault,29181,28850,28843,29319,0,0,-0.0006515166675759476,0.07803561183902814,-0.03729729023869256,-0.3475799208716654,0.48862654081025975
250,,pre_fault,28867,29048,29160,29466,0,0,-0.001225880103101535,0.6291092288428671,0.17093880717261714,0.7747592092294839,0.5035014077217266
300,,pre_fault,28988,28962,28767,28915,0,0,-0.0013056389595265823,0.2117366877138443,-0.09658745108023771,-0.686743807496546,0.49883938480832185
350,,pre_fault,28634,28785,29084,28878,0,0,0.0004402550486588439,-0.37085342712184793,-0.27166658667701454,-0.24387380073995302,0.49992553901567954
400,,pre_fault,29283,29046,29070,29138,0,0,9.019702117990703e-05,0.2006408119752102,-0.24558530736575107,0.04197653451284179,0.4951298703545068
450,,pre_fault,29225,28907,28916,28786,0,0,-0.00022140759497397527,-0.27220092104902344,0.353349734480169,0.10509837268483338,0.5053302359153936
500,,pre_fault,28775,29264,28870,28581,0,0,0.0003080847036193516,-0.06904269167116393,0.39889564888596485,0.6594322115351785,0.5040558432104922
550,,pre_fault,28712,29139,28652,28977,0,0,-0.0003887486285955892,0.035283768327676,-0.17985469546234015,-0.39397036827650744,0.49886129867777945
600,,pre_fault,28593,28929,28630,28778,0,0,-0.000652791878154664,-0.27259526752547947,-0.0055481194134247,0.05086176285967103,0.4968084607629981
650,,pre_fault,28963,28656,29328,28818,0,0,-0.00039988904221631655,-0.12635217697247686,0.31031120357163605,0.3057916579353314,0.4979080571357605
700,,pre_fault,28961,28718,28736,28785,0,0,-0.0002497093229770843,-0.16846043186822868,0.07305915239847317,-0.12657381539350968,0.49578889419899347
750,,pre_fault,29037,29128,28519,28864,0,0,1.7887362690840126e-05,0.03522847009354291,0.01650146615423505,-0.36381424718515976,0.49999298446894674
800,,pre_fault,29012,29078,28965,28971,0,0,0.000511050629185058,-0.018379178906422527,0.15427715192194466,-0.18719354808712638,0.4968462043981186
850,,pre_fault,28728,28694,28802,28730,0,0,-0.0007338201104836352,-0.026044507470659607,-0.27719395075655484,-0.48916858630901316,0.5029115699195554
900,,pre_fault,29142,28931,28928,29523,0,0,-0.00029374478872514826,0.4265803310842262,-0.17123036368455946,-0.007590337310268343,0.4982344619748257
950,,pre_fault,29242,28768,28905,28461,0,0,-0.0005769650680082941,0.13561302897197156,0.19125735893114612,0.43343290662571476,0.4983022424571539
1000,,pre_fault,28867,28695,28666,29189,0,0,-0.0006267738711905741,0.10824652259068887,0.05032225683431348,-0.20975346237802317,0.5077918457662863
1050,,pre_fault,28813,28582,28502,28862,0,0,0.0007899016046970383,0.2743247636954005,0.11557029218161151,0.26637325613811985,0.49650481826818577
1100,,pre_fault,28887,28897,28900,28779,0,0,-0.0007096683976363626,0.46557029040073045,0.022868690181606026,-0.8134114789140647,0.4923167991242522
1150,,pre_fault,28854,28915,29148,28878,0,0,-0.00015572354779559697,0.34956131770630766,-0.32269453698727485,-0.7517619275065313,0.5020062858477177
1200,,pre_fault,29107,28846,28836,29123,0,0,-0.0010225986181624568,-0.26376149937623156,0.1059619092054069,0.4969440869296464,0.4898012104803366
1250,,pre_fault,29114,28676,28958,28848,0,0,0.0007031777003281438,0.13203238304557524,0.3246933590408341,-0.07445231342560454,0.5015248549544552
1300,,pre_fault,29058,28983,29065,28901,0,0,0.0011010713024625506,0.19345930477209294,0.12914903318424575,0.1677339859171599,0.5051215104523116
1350,,pre_fault,28872,28813,28794,28878,0,0,0.00016963615178700292,0.2409233490303433,0.18331197930711363,-0.6015317762167851,0.5005713750265198
1400,,pre_fault,28944,29065,28756,28752,0,0,0.0019366044978141382,-0.035275281659157325,-0.23448156200656983,-0.3882330356203949,0.500273348767636
1450,,pre_fault,29139,28971,28799,29148,0,0,-0.002108810798412961,0.017997917181304345,-0.062334943510021466,0.46711063708667944,0.4899786714287336
1500,,pre_fault,29060,28837,29088,29059,0,0,-0.0006942316613557111,-0.22153697587617968,-0.11345656882882126,-0.023806339082397363,0.5030117947599101
1550,,pre_fault,28978,29109,29013,28968,0,0,0.0006552905521072878,-0.09213686814377905,-0.12625928969661818,0.25087404036909894,0.502219313658654
1600,,pre_fault,29005,28779,28966,29132,0,0,-0.001558992365287936,-0.2916023684448879,-0.15473697121587718,0.004200850501937446,0.4943796226915587
1650,,pre_fault,29164,28789,28662,29115,0,0,-0.0001686600244807973,0.31850161327439086,0.14828898102752253,0.46400779523685015,0.5098065538239364
1700,,pre_fault,28862,28940,29293,28989,0,0,7.132602046546374e-05,-0.12986773526818787,0.1383828146853255,-0.22885270317679252,0.4941211537728662
1750,,pre_fault,28731,29076,28928,28882,0,0,-0.0002491832915764341,-0.23317075577582078,0.2115288929921104,-0.9298700114368433,0.49184486203410427
1800,,pre_fault,28866,28892,28865,28927,0,0,-4.5535225622560345e-05,0.07383440835669158,0.45085961543965697,-0.39130855386716695,0.49118573010068156
